Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,"Yorum İçeriği (Tam Metin - Türkçe)",Olumlu/Olumsuz/Nötr
1,Pegasus,Rabia D,2,5,Harika deneyimdi köpeğimle,Istanbul - Stuttgart,Europe,Şubat 2026,22 Şubat 2026,"✈️ Pegasus ile harika bir uçuş deneyimi! Pegasus ile seyahat etmek her zaman keyifli! Uçaklar temiz, personel çok güler yüzlü ve yardımsever. Bilet fiyatları uygun, bagaj ve ek hizmet seçenekleri esnek. Check-in ve boarding süreçleri hızlı ve sorunsuz ilerliyor. Uçuş ağı geniş olduğu için pek çok yere kolayca ulaşabiliyorum. Her uçuşumda güvenli ve konforlu bir yolculuk geçiriyorum. Kesinlikle tercih etmeye devam edeceğim bir havayolu! 🌟 Ve köpeğimle çok ayrı ilgilendiler. Kafesinde olması gerekiyorken kucağımızda geldi. Teşekkür ederim Emre bey, Emine hanım ve Yiğit bey 🥰",Olumlu
2,Pegasus,Zeki E,30,5,Sorunsuz keyifli seyahat,Istanbul - Ohrid,Europe,Şubat 2026,17 Şubat 2026,"Çok rahat bir yolculuk oldu. Vaktinde kalktı, sorunsuz vardık. Uçak yeni Airbus A321 idi. Şikayet yorumlarını beklentiye bağlıyorum. Low cost firmayı tercih edip Katar havayollarının first class hizmetini beklemek hayal kırıklığına neden olur tabii! 😁",Nötr
3,Pegasus,Cruiser34123030229,1,5,Mükemmel,Istanbul - Ordu,Domestic,Ocak 2026,5 Şubat 2026,"Çok güzel bir deneyim sundu. Yaşım 18'den küçük olmasına rağmen hiçbir sıkıntı yaşamadım. Kötü yorum yapanlar genellikle bavul rötar vs. yazmışlar. Öyle bir sıkıntı yaşamadım. Rahatlıkla biletinizi alabilirsiniz. Konforu da gayet iyiydi.",Olumlu
4,Pegasus,Meram A,14,1,Don’t fly Pegasus,Istanbul - Van,Domestic,Ekim 2025,30 Ocak 2026,"Müşteriden sonuna kadar faydalanan hatta sömürmeyi hedeflerken hiçbir sorumluluk almayan şirket. Sanırım Ar-Ge'de küçük insanlar çalışıyor. Neredeyse yolcunun kucağında ayakta gideceği bir sistem var.",Olumsuz
5,Pegasus,Hamza Ö,1,1,Durum ortada tavsiye edilecek bir şey yok,Ankara - Istanbul,Domestic,Ocak 2026,20 Ocak 2026,"19.01.2026 tarihinde akşam 19.05 olan Ankara İstanbul uçağım 22.30'da hareket etti ve beni 23:30'da İstanbul Sabiha Gökçen Havalimanına bıraktı. Benim 00:20'de Fas Kazablanka Air Arabia uçağıma yetişemedim. Bu nedenle uçağımı kaçırdım. Fas'ta boşanma mahkemem vardı. 20.01.2026 tarihinde mahkemem ertelendi. Gidemediğim için Pegasus'un yüzünden oldu. Sabiha Gökçen Havalimanındaki bilet satış firması ve danışmanlar beni görmezden geldiler. Bu durumu her yerde paylaşacağım.",Olumsuz
6,Pegasus,kadir A,1,1,Rezillik,Adana - Hannover,Europe,Ocak 2026,9 Ocak 2026,"Merhaba, kaybolan (sözde almadan havaalanını terk ettiğim valizimi aldım) bilgilendirmemi istediniz ve bilgi burada. Evet valizi teslim aldım. Normalde ilginize teşekkür etmem gerekiyor ama telefonda yanlış bilgilendirilen ya da müşteri olarak yanlış muamele gören biri olarak teşekkür etmeyi çok görmüyorum. Valiz üzerindeki etiket kodlarından valizin A Jet ile Hannover'e geldiği görünüyor ve ben Pegasus ile uçuş yapmıştım. Valizin durumunu sormak için aradığımda telefondaki çalışanınız valizi almadan havaalanını terk ettiğimi söyledi. Sizin hatanız yüzünden saat 2 civarı indiğim uçaktan 22 civarında eve vardım. Normalde valizimi adresime teslim etmeniz gerekirken telefondaki söylem (almadan gitmişsiniz) çok gereksiz ve kırıcıydı. Neticede bir daha Pegasus ile uçmayacağım ve tanıdığım herkese de bu firmadan uzak durmalarını anlatacağım. Böyle bir rezillik ve aşağılamaya kimse maruz kalmasın.",Olumsuz
7,Pegasus,Melih G,2,1,berbat,Istanbul - Dalaman,Domestic,Ocak 2026,4 Ocak 2026,"Yaw yeter! Rötarlarınızdan da hizmetinden de insanları zor durumda bırakmanızdan da bıktım. Hiçbir şey düzelmiyor.",Olumsuz
8,Pegasus,Melih G,2,1,Konforsuz ve huzursuz!,Dalaman - Istanbul,Domestic,Aralık 2025,27 Aralık 2025,"İnanılmaz amatör. Uçak içi konforsuz. Zorla saçma sapan koltuk ataması yapılıyor. Müşteri hizmetlerine ulaşmak için dakikalarca bekliyoruz. Tam bir rezalet! Esnaf uçağı demek bile esnafa haksızlık olur.",Olumsuz
9,Pegasus,Umut D,1,1,0,Zurich - Istanbul,Europe,Aralık 2025,23 Aralık 2025,"Hayatımda gördüğüm en kötü uçak. Çalışanlarda saygı yok. İnsanlık ölmüş. Bir işçi yüzünden uçağa yetişemedik. Geri iade edilmedi. Bir daha bu uçakla uçmam. Tavsiye etmiyorum.",Olumsuz
10,Pegasus,Sezen i,1,1,Bagaj hasarı,Antalya - Bristol,Europe,Kasım 2025,10 Aralık 2025,"Bavulumuzu kırdılar. Sorumluluğu üstlenmediler. Böyle bir şirket politikası hayal kırıklığı. Ancak içeride 33 ml su için para almayı hiç es geçmiyorlar. Kötü bir deneyim.",Olumsuz
