yil,tüm_uçak_overflight_dahil,uçak_trafiği,iç_hat,dış_hat,overflight_uçak_trafiği
2002,532531,376579,157953,218626,155952
2003,529205,374987,156582,218405,154218
2004,640549,449493,196207,253286,191056
2005,757983,551980,265113,286867,206003
2006,852175,627401,341262,286139,224774
2007,935567,688468,365177,323291,247099
2008,1010937,741765,385764,356001,269172
2009,1066053,788469,419422,369047,277584
2010,1213125,919411,497862,421549,293714
2011,1335185,1042369,579488,462881,292816
2012,1305598,1093057,600818,492229,283439
2013,1435163,1222863,682685,541110,281178
2014,1596630,1327958,754259,591695,333017
2015,1751659,1490958,832958,623715,358285
2016,1754897,1540897,886228,566767,376913
2017,1837246,1635636,909332,591125,413560
2018,1956323,1956323,892405,651764,473051
2019,1943006,1943006,839894,716523,478013
2020,884535,884535,572994,280756,201418
2021,1189931,1189931,738352,466266,262242
2022,1662986,1662986,786150,702476,394845
2023,1872665,1872665,869404,816473,485453
2024,1959961,1959961,903060,869550,521615
2025,2097037,2097037,994811,925384,576921
2026,2210909,2210909,1065188,956713,609504
2027,2280285,2280285,1088416,985123,627973
