yil,kargo_trafiği_ton,iç_hat_kargo_ton,dış_hat_kargo_ton
2002,251987,53640,198347
2003,276283,54104,222179
2004,324588,70998,253590
2005,331116,72204,258912
2006,357221,70698,286523
2007,395831,73252,322579
2008,402039,66554,335485
2009,425228,64518,360710
2010,541357,71216,470141
2011,584475,76269,508206
2012,624058,84431,539627
2013,731962,100097,631865
2014,842241.493,104941.100,737300.393
2015,904761.757,101447.367,803314.390
2016,1032943.403,81587.264,951356.139
2017,1256223.623,75254.445,1180969.178
2018,1388622.949,52807.454,1335815.495
2019,1522403.851,65666.663,1456737.188
2020,1368576.626,51043.286,1317533.340
2021,1711150.513,106317.120,1604833.393
2022,1678249.275,105088.467,1573160.808
2023,1670078.271,109461.163,1560617.108
2024,2166797.249,115860.649,2050936.600
2025,2062729.843,112134.400,1950595.443
2026,2114525,119190,1995335
2027,2137472,120350,2017122
