Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,Yorum İçeriği (Tam Metin - Türkçe),Olumlu/Olumsuz/Nötr
1,Pegasus,YeicGeztoz (2022),34406,3,Pegasus,Malatya - İstanbul,Yurt İçi,Haziran 2022,27 Eylül 2022,"Pegasus Hava Yollarıyla yaptığım tüm seyahatlerde hiç rötar olmadan uçtum. Bu seyahatimde aynı oldu. Hiçbir ikramları yok, ne yiyip içersen hepsi ücretli. Bilet alırken menüsünde bulunan yiyecek ve içecekleri önceden bedelini ödeyip alabiliyorsun, uçuş sırasında da kabin ekibi servis yapıyor. Rahat bir seyahat oldu.",Nötr
2,Pegasus,doguhan G,2,1,Rezalaet daniskası berbat,İstanbul - Ankara,Yurt İçi,Eylül 2022,5 Eylül 2022,ucak saat 10:30 kalkması gerekırken. Saat 11:30 kalkıyor 1:20 dakıkadır ucakta koltukta oturarak zaman gecirdik 5 eylul,Olumsuz
3,Pegasus,Mert M,1,5,Rezalet,Ankara - Antalya,Yurt İçi,Ağustos 2022,8 Ağustos 2022,Uçak seyahatine göre daha ucuz olan otobüs firmaları bile ikram yaparken 1.500 lira verip uçuş yaptığımız şirket ücreti servis ikramı yaptı ilginç değilmi bir bardak suyu bile ikram edemiyorsanız yazıktır herşey paramı be kardeşim yazık,Olumsuz
4,Pegasus,Özlem S,1,1,Bebek,Kayseri - İzmir,Yurt İçi,Temmuz 2022,17 Temmuz 2022,"Bebek arabalı insanlara asla tavsiye etmiyorum. Bebek arabamın kulpunu kırdılar , her yeri çizildi zedelendi ve kullanılamaz hale geldi karşılığında küçük hasar deyip hiç bir şey yapamayacaklarını bildirdiler. Müşteri hizmeti berbat. Asla Pegasus ile seyahat etmeyin.",Olumsuz
5,Pegasus,Ayse K,1,1,Berbat,Adana - Antalya,Yurt İçi,Temmuz 2022,14 Temmuz 2022,15 dakika geç kalktı hadi o neyse indikten sonra tam 1 saat bagaj bekledik şaka gibiydi asla tavsiye etmiyorum,Olumsuz
6,Pegasus,ozan d,1,1,REZALET,Antalya - Diyarbakır,Yurt İçi,Kasım 2025,29 Kasım 2025,Hayatımda gördüğüm en kötü firma koyun muamelesi yapıyorlar hava şartlarıyla sorun var diyorlar aynı şehire başka firmanın uçağı kalkiyor yağmurda yürütuler bidaha bu firmayla asla seyahat etmem tavsiye etmiyorum.....,Olumsuz
7,Pegasus,Özcan V,1,1,Rötar + Rötar + Rötar,İstanbul - Bodrum,Yurt İçi,Kasım 2025,20 Kasım 2025,Bir hafta içinde 3 uçuş üçüde rötarlı sebepde komik olduğu kadar düşündürücü kapılar08:15 de kapanıyor Kaptan 08:40 anons ile tekerler değişmesi gerekiyormuş onun için biraz gecikme olacak ve Lütfen Lavaboları kullanmayın taktir sizin çok mecbur kalmadığım sürece asla PEGASUS,Olumsuz
8,Pegasus,Furkan Ş,2,1,5 saatlik rötar,İzmir - Antalya,Yurt İçi,Ekim 2025,4 Kasım 2025,Uçak kalkış saatim 01:20 iken 3 defa ertelendi ve bir sonraki ertelemeye kadar uyumadan bekledim. Tarafıma bildirilmedi ertelemeler. Uçuş 06:30 da gerçekleştirildi. Gece boyunca uykusuz kaldım ve sabah erkenden iş başı yapmam gerekti. Pegasus sayfasına yönlendirildim her şeyi yazmama rağmen bir geri dönüş sağlanmadı tarafıma. Resmen paramızla rezil olduk. Otobüsle gitmediğime pişman oldum,Olumsuz
9,Pegasus,Barış D,1,1,"Pegasus ile bir daha,Asla",İstanbul - Antalya,Yurt İçi,Ekim 2025,31 Ekim 2025,"Sabiha Gökçen havalimanından Antalya ya 30-Ekim-2025 tarihinde uçuşumuz vardı.Uçağımız 3 kere saati değişti..2.5 saat rötar yaptı.Bizi ve diğer yolcuları perişan ettiler.O gün bütün işlerimiz , alt üst oldu.Antalyadan aktarma uçuşu olan bazı yolcular vardı.Pegasus bizi perişan etti.Ucuş saati bir kere değişir, anlarız ama 3 kere değişiyor sa ,kusura bakmayın bu işi yapmıyorsunuz .Planlamaniz, Alternatif B planlariniz nasıl olmaz.Bir daha ben ve o uçağa binenler hep aynı şeyi diyorlardı.Pegasus ile bir daha uçmayız.. Kısaca ,Pegasus pişmanlıktır..",Olumsuz
10,Pegasus,Burak A,1,5,Fiyat Performans,Antalya - İstanbul,Yurt İçi,Ekim 2025,8 Ekim 2025,Çok iyi hiç rötar yaşamadım uçaklar tam zamanında kalkıyor fiyatları uygun sorunsuz bir havayolu şirketi fiyat performans tam olarak bu bence,Olumlu
11,Pegasus,Roving06514000139,2,5,Her zaman tercihim pegasus,Kayseri - İstanbul,Yurt İçi,Ekim 2025,7 Ekim 2025,Her zaman ucuz . Zamaninda kalkış. Guler yüzlü personel . Güvenli seyahat. Teşekkürler pegasus yıllardır sorunsuz şekilde bize keyifli ucus yasattigin icin.tum çalışanlara teşekkürler,Olumlu
12,Pegasus,Eda Y,1,1,Müşteri ve zamana saygı duymayan kurum…,Diyarbakır - İstanbul,Yurt İçi,Eylül 2025,25 Eylül 2025,"Pegasus’un sistematik uçuş gecikmeleri artık kabul edilemez boyutta. İstanbul–Diyarbakır uçuşumda yaşadığım gecikmenin aynısını, şu anda Diyarbakır–İstanbul seferinde de tekrar yaşıyorum. Bu sadece tek bir uçuş değil, markanızın genel çalışma biçimi hâline gelmiş bir aksaklık. Zaman yönetimine ve müşteri memnuniyetine gösterdiğiniz bu umursamazlık, profesyonel bir hava yolu şirketi için utanç verici. Üstelik yolcuları sürekli belirsizlik içinde bekletmek, saygısızlık ve iş bilmezliktir. Yaşanan bu tekrar eden gecikmeler için derhal kendilerini düzeltip daha profesyonel bir hizmet anlayışı ile kendilerini geliştirmeliler.",Olumsuz
13,Pegasus,YeicGeztoz (2025),34406,3,Pegasus Airlines,İstanbul - Antalya,Yurt İçi,Eylül 2025,25 Eylül 2025,İstanbul Sabiha Gökçen Havalimanından kısa süreli bir gecikme sonrası uçuş başladı ve Antalya Havalimanına ininceye kadar rahat bir yolculuk yaptık. Uçak piste çok sert ve süratli inince pas geçip tekrar havalandık. Bu heyecan sonrası ikinci denemede başarılı bir şekilde indik.,Nötr
14,Pegasus,Yasemin K,1,5,Esenboğa Pegasus Personel Teşekkür,Ankara - İstanbul,Yurt İçi,Eylül 2025,8 Eylül 2025,Bu sabahki uçuşumda valiz etiketi çıkarırken sabahın erken saatinde güler güzlü hanımefendiye çok teşekkür ederim.Sabihadan her uçuşumda söylerim ki Ankara Pegasus personelleri daha nezaketli,Olumlu
15,Pegasus,Hilal A,1,1,Hiç beğenmedim,Erzincan - İstanbul,Yurt İçi,Ağustos 2025,9 Ağustos 2025,Öncelikle cafe bölümündeki Quar kotla okutulan bilgiyle uçak içerinde satılan fiyatlar aynı değil.okadar birinci sınıf uçak firması olmasina ragmen nerde oldugumuzu gösteren bir ekran bile yoktu. Can sikintisi resmen mecburi yaptığım bir yolculuk oldu daha düşünurmuyum meçhul kesinlikle beğenmedim,Olumsuz
